IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.201.186.213,2095,0,false,ORD,North America,Chicago,53,0.00
3.110.164.142,8880,0,false,ORD,North America,Chicago,54,0.00
3.110.176.176,2095,0,false,ORD,North America,Chicago,54,0.00
43.204.115.21,2052,80,false,ORD,North America,Chicago,55,0.00
15.207.14.136,80,0,false,ORD,North America,Chicago,55,0.00
52.66.244.40,80,0,false,ORD,North America,Chicago,55,0.00
13.235.67.135,2083,0,false,ORD,North America,Chicago,55,0.00
15.207.14.136,2082,0,false,ORD,North America,Chicago,55,0.00
15.207.109.76,2082,0,false,ORD,North America,Chicago,55,0.00
3.7.254.128,80,0,false,ORD,North America,Chicago,55,0.00
13.232.74.143,8080,0,false,ORD,North America,Chicago,55,0.00
13.201.186.213,443,0,false,ORD,North America,Chicago,55,0.00
15.207.109.76,8080,0,false,ORD,North America,Chicago,55,0.00
15.207.14.136,8880,0,false,ORD,North America,Chicago,55,0.00
13.201.81.130,80,0,false,ORD,North America,Chicago,55,0.00
13.235.67.135,8443,0,false,ORD,North America,Chicago,55,0.00
13.201.81.130,2096,0,false,ORD,North America,Chicago,55,0.00
52.66.244.40,2053,0,false,ORD,North America,Chicago,55,0.00
15.207.109.76,8880,0,false,ORD,North America,Chicago,55,0.00
52.66.8.202,80,80,false,ORD,North America,Chicago,55,0.00
43.204.114.222,2053,0,false,ORD,North America,Chicago,55,0.00
3.7.254.128,2087,0,false,ORD,North America,Chicago,56,0.00
43.204.114.222,2087,0,false,ORD,North America,Chicago,56,0.00
43.204.114.222,2082,0,false,ORD,North America,Chicago,56,0.00
52.66.243.88,2086,0,false,ORD,North America,Chicago,56,0.00
15.206.84.157,8080,0,false,ORD,North America,Chicago,56,0.00
52.66.243.88,2083,0,false,ORD,North America,Chicago,56,0.00
52.66.243.88,2096,0,false,ORD,North America,Chicago,56,0.00
15.207.14.136,443,0,false,ORD,North America,Chicago,56,0.00
3.110.164.142,2096,0,false,ORD,North America,Chicago,56,0.00
15.207.109.76,2095,0,false,ORD,North America,Chicago,56,0.00
15.206.84.157,2083,0,false,ORD,North America,Chicago,56,0.00
65.0.138.97,2083,0,false,ORD,North America,Chicago,56,0.00
52.66.244.40,2095,0,false,ORD,North America,Chicago,56,0.00
52.66.244.40,2052,0,false,ORD,North America,Chicago,56,0.00
15.206.2.5,80,0,false,BOM,Asia Pacific,Mumbai,56,0.00
65.0.87.60,2096,0,false,ORD,North America,Chicago,56,0.00
65.0.87.60,8880,0,false,ORD,North America,Chicago,56,0.00
13.234.75.51,2083,0,false,ORD,North America,Chicago,56,0.00
43.204.114.222,8443,0,false,ORD,North America,Chicago,56,0.00
15.206.84.157,2082,0,false,ORD,North America,Chicago,56,0.00
65.0.138.97,2087,0,false,ORD,North America,Chicago,56,0.00
52.66.244.40,2086,0,false,ORD,North America,Chicago,56,0.00
13.234.75.51,2052,0,false,ORD,North America,Chicago,56,0.00
13.201.186.213,2082,0,false,ORD,North America,Chicago,56,0.00
15.206.84.157,8443,0,false,ORD,North America,Chicago,56,0.00
15.207.109.76,443,0,false,ORD,North America,Chicago,56,0.00
52.66.243.88,8080,0,false,ORD,North America,Chicago,56,0.00
3.110.164.142,80,0,false,ORD,North America,Chicago,56,0.00
52.66.248.236,8080,0,false,ORD,North America,Chicago,56,0.00
52.66.248.236,443,0,false,ORD,North America,Chicago,56,0.00
52.66.244.40,2082,0,false,ORD,North America,Chicago,56,0.00
13.127.194.125,2086,0,false,ORD,North America,Chicago,56,0.00
52.66.243.88,2053,0,false,ORD,North America,Chicago,56,0.00
15.206.84.157,2095,0,false,ORD,North America,Chicago,56,0.00
15.207.14.136,2087,0,false,ORD,North America,Chicago,56,0.00
3.110.176.176,2083,0,false,ORD,North America,Chicago,56,0.00
52.66.244.40,2087,0,false,ORD,North America,Chicago,56,0.00
13.234.75.51,80,0,false,ORD,North America,Chicago,56,0.00
43.204.114.222,8880,0,false,ORD,North America,Chicago,56,0.00
3.110.176.236,2086,80,false,ORD,North America,Chicago,56,0.00
3.7.254.128,8080,0,false,ORD,North America,Chicago,56,0.00
65.0.138.97,2082,0,false,ORD,North America,Chicago,56,0.00
15.207.109.76,2087,0,false,ORD,North America,Chicago,56,0.00
52.66.243.88,8880,0,false,ORD,North America,Chicago,56,0.00
3.110.176.176,2086,0,false,ORD,North America,Chicago,57,0.00
3.110.163.34,2082,0,false,ORD,North America,Chicago,57,0.00
3.110.163.34,8880,0,false,ORD,North America,Chicago,57,0.00
52.66.243.88,2082,0,false,ORD,North America,Chicago,57,0.00
3.109.208.100,2083,0,false,ORD,North America,Chicago,57,0.00
52.66.248.236,8880,0,false,ORD,North America,Chicago,57,0.00
15.207.14.136,2083,0,false,ORD,North America,Chicago,57,0.00
13.235.67.135,2087,0,false,ORD,North America,Chicago,57,0.00
3.109.208.100,2087,0,false,ORD,North America,Chicago,57,0.00
3.110.176.176,8080,0,false,ORD,North America,Chicago,57,0.00
52.66.248.236,2052,0,false,ORD,North America,Chicago,57,0.00
15.206.84.157,2087,0,false,ORD,North America,Chicago,57,0.00
15.207.14.136,2096,0,false,ORD,North America,Chicago,57,0.00
3.110.163.34,2083,0,false,ORD,North America,Chicago,57,0.00
13.234.75.51,2053,0,false,ORD,North America,Chicago,57,0.00
3.109.208.100,8880,0,false,ORD,North America,Chicago,57,0.00
52.66.248.236,2086,0,false,ORD,North America,Chicago,57,0.00
3.110.176.176,8880,0,false,ORD,North America,Chicago,57,0.00
15.207.109.76,2086,0,false,ORD,North America,Chicago,57,0.00
3.109.208.100,2052,0,false,ORD,North America,Chicago,57,0.00
3.110.164.142,2083,0,false,ORD,North America,Chicago,57,0.00
15.206.84.157,2096,0,false,ORD,North America,Chicago,57,0.00
3.7.254.128,8880,0,false,ORD,North America,Chicago,57,0.00
65.0.87.60,2087,0,false,ORD,North America,Chicago,57,0.00
3.110.164.142,2086,0,false,ORD,North America,Chicago,57,0.00
65.0.138.97,8443,0,false,ORD,North America,Chicago,57,0.00
3.110.164.142,2053,0,false,ORD,North America,Chicago,57,0.00
13.201.186.213,2052,0,false,ORD,North America,Chicago,57,0.00
13.235.67.135,2095,0,false,ORD,North America,Chicago,58,0.00
3.110.163.34,2052,0,false,ORD,North America,Chicago,58,0.00
15.206.84.157,8880,0,false,ORD,North America,Chicago,58,0.00
3.110.163.34,443,0,false,ORD,North America,Chicago,58,0.00
3.110.164.142,8443,0,false,ORD,North America,Chicago,58,0.00
3.110.163.34,80,0,false,ORD,North America,Chicago,58,0.00
65.0.87.60,2086,0,false,ORD,North America,Chicago,58,0.00
13.234.75.51,2096,0,false,ORD,North America,Chicago,58,0.00
13.127.194.125,2052,0,false,ORD,North America,Chicago,58,0.00
3.110.163.34,2053,0,false,ORD,North America,Chicago,58,0.00
15.207.14.136,2095,0,false,ORD,North America,Chicago,58,0.00
13.127.194.125,2082,0,false,ORD,North America,Chicago,58,0.00
13.127.194.125,2053,0,false,ORD,North America,Chicago,59,0.00
65.0.138.97,2052,0,false,ORD,North America,Chicago,59,0.00
13.127.194.125,8443,0,false,ORD,North America,Chicago,59,0.00
65.0.138.97,8880,0,false,ORD,North America,Chicago,60,0.00
13.234.75.51,8443,0,false,ORD,North America,Chicago,60,0.00
13.234.75.51,2086,0,false,ORD,North America,Chicago,60,0.00
15.207.109.76,2096,0,false,ORD,North America,Chicago,60,0.00
13.201.186.213,8443,0,false,ORD,North America,Chicago,60,0.00
13.234.75.51,8080,0,false,ORD,North America,Chicago,61,0.00
13.201.81.130,8080,0,false,ORD,North America,Chicago,61,0.00
65.0.138.97,443,0,false,ORD,North America,Chicago,61,0.00
3.7.254.128,2082,0,false,ORD,North America,Chicago,61,0.00
13.201.186.213,2096,0,false,ORD,North America,Chicago,61,0.00
3.7.254.128,443,0,false,ORD,North America,Chicago,61,0.00
43.204.114.222,2096,0,false,ORD,North America,Chicago,61,0.00
15.207.14.136,8443,0,false,ORD,North America,Chicago,61,0.00
15.207.14.136,2086,0,false,ORD,North America,Chicago,61,0.00
65.0.138.97,8080,0,false,ORD,North America,Chicago,61,0.00
3.7.254.128,2083,0,false,ORD,North America,Chicago,61,0.00
13.127.194.125,8080,0,false,ORD,North America,Chicago,61,0.00
13.234.75.51,8880,0,false,ORD,North America,Chicago,61,0.00
43.204.115.21,8080,0,false,ORD,North America,Chicago,61,0.00
13.201.81.130,2052,0,false,ORD,North America,Chicago,61,0.00
43.204.114.222,2083,0,false,ORD,North America,Chicago,61,0.00
13.201.186.213,2087,0,false,ORD,North America,Chicago,61,0.00
3.110.163.34,2087,0,false,ORD,North America,Chicago,61,0.00
13.235.67.135,2082,0,false,ORD,North America,Chicago,61,0.00
52.66.243.88,2087,0,false,ORD,North America,Chicago,61,0.00
3.109.208.100,2053,0,false,ORD,North America,Chicago,61,0.00
13.201.186.213,8080,0,false,ORD,North America,Chicago,61,0.00
3.109.208.100,8443,0,false,ORD,North America,Chicago,62,0.00
3.110.176.176,443,0,false,ORD,North America,Chicago,62,0.00
3.110.176.176,80,0,false,ORD,North America,Chicago,62,0.00
13.201.81.130,8880,0,false,ORD,North America,Chicago,62,0.00
52.66.248.236,80,0,false,ORD,North America,Chicago,62,0.00
3.110.176.176,2082,0,false,ORD,North America,Chicago,62,0.00
3.110.163.34,8080,0,false,ORD,North America,Chicago,62,0.00
52.66.248.236,2095,0,false,ORD,North America,Chicago,62,0.00
13.127.194.125,2087,0,false,ORD,North America,Chicago,63,0.00
15.207.109.76,2052,0,false,ORD,North America,Chicago,63,0.00
65.0.138.97,2095,0,false,ORD,North America,Chicago,63,0.00
13.127.194.125,8880,0,false,ORD,North America,Chicago,63,0.00
3.7.254.128,2053,0,false,ORD,North America,Chicago,63,0.00
13.201.81.130,2095,0,false,ORD,North America,Chicago,64,0.00
13.234.75.51,2095,0,false,ORD,North America,Chicago,64,0.00
13.235.67.135,443,0,false,ORD,North America,Chicago,64,0.00
52.66.243.88,8443,0,false,ORD,North America,Chicago,64,0.00
3.7.254.128,2095,0,false,ORD,North America,Chicago,64,0.00
52.66.8.202,2096,0,false,ORD,North America,Chicago,64,0.00
3.110.176.176,8443,0,false,ORD,North America,Chicago,64,0.00
13.127.194.125,443,0,false,ORD,North America,Chicago,64,0.00
65.0.87.60,2053,0,false,ORD,North America,Chicago,65,0.00
3.110.164.142,2082,0,false,ORD,North America,Chicago,65,0.00
13.201.186.213,2083,0,false,ORD,North America,Chicago,65,0.00
15.165.63.136,2052,80,false,ICN,Asia Pacific,Seoul,66,0.00
15.206.84.157,2053,0,false,ORD,North America,Chicago,66,0.00
65.0.138.97,2053,0,false,ORD,North America,Chicago,66,0.00
3.109.208.100,2095,0,false,ORD,North America,Chicago,66,0.00
43.202.59.187,2095,0,false,ORD,North America,Chicago,66,0.00
3.38.149.64,8443,0,false,ORD,North America,Chicago,66,0.00
15.165.235.179,2083,0,false,ORD,North America,Chicago,66,0.00
3.38.97.216,2053,0,false,ORD,North America,Chicago,67,0.00
3.35.222.58,2052,0,false,ORD,North America,Chicago,67,0.00
3.39.238.139,8880,0,false,ORD,North America,Chicago,67,0.00
43.203.225.125,2086,0,false,ORD,North America,Chicago,67,0.00
13.125.195.4,2086,0,false,ORD,North America,Chicago,67,0.00
15.165.235.144,8080,0,false,ORD,North America,Chicago,67,0.00
3.38.149.64,2087,0,false,ORD,North America,Chicago,67,0.00
13.125.152.55,2083,0,false,ORD,North America,Chicago,67,0.00
3.39.235.191,2087,0,false,ORD,North America,Chicago,67,0.00
15.165.235.144,8880,0,false,ORD,North America,Chicago,68,0.00
13.125.164.208,8443,0,false,ORD,North America,Chicago,68,0.00
13.201.81.130,2082,0,false,ORD,North America,Chicago,68,0.00
43.203.213.139,80,0,false,ORD,North America,Chicago,68,0.00
13.125.195.4,2052,0,false,ORD,North America,Chicago,68,0.00
15.165.235.179,8443,0,false,ORD,North America,Chicago,68,0.00
43.203.213.139,2082,0,false,ORD,North America,Chicago,68,0.00
43.202.65.154,2052,0,false,ORD,North America,Chicago,68,0.00
13.125.195.4,80,0,false,ORD,North America,Chicago,68,0.00
43.203.225.125,2095,0,false,ORD,North America,Chicago,68,0.00
15.165.235.144,80,0,false,ORD,North America,Chicago,68,0.00
43.201.45.97,2082,0,false,ORD,North America,Chicago,68,0.00
13.235.67.135,2096,0,false,ORD,North America,Chicago,68,0.00
43.203.126.59,8880,0,false,ORD,North America,Chicago,68,0.00
3.38.97.216,80,0,false,ORD,North America,Chicago,68,0.00
13.125.152.55,2082,0,false,ORD,North America,Chicago,68,0.00
3.38.97.216,2086,0,false,ORD,North America,Chicago,68,0.00
3.39.235.191,2082,0,false,ORD,North America,Chicago,68,0.00
3.35.156.185,2095,0,false,ORD,North America,Chicago,68,0.00
13.125.152.55,2096,0,false,ORD,North America,Chicago,68,0.00
43.201.52.25,8080,0,false,ORD,North America,Chicago,68,0.00
13.125.152.55,443,0,false,ORD,North America,Chicago,68,0.00
43.201.52.25,2086,0,false,ORD,North America,Chicago,69,0.00
15.165.18.112,2086,0,false,ORD,North America,Chicago,69,0.00
52.66.248.236,2053,0,false,ORD,North America,Chicago,69,0.00
43.203.126.59,80,0,false,ORD,North America,Chicago,69,0.00
18.181.84.244,2052,0,false,ORD,North America,Chicago,69,0.00
13.125.174.99,2052,0,false,ORD,North America,Chicago,69,0.00
13.124.84.31,80,0,false,ICN,Asia Pacific,Seoul,69,0.00
3.109.208.100,2096,0,false,ORD,North America,Chicago,69,0.00
13.125.164.208,2052,0,false,ORD,North America,Chicago,69,0.00
43.203.141.102,8443,0,false,ORD,North America,Chicago,69,0.00
43.201.45.97,2087,0,false,ORD,North America,Chicago,69,0.00
43.203.213.139,443,0,false,ORD,North America,Chicago,69,0.00
43.206.111.8,8443,0,false,ORD,North America,Chicago,69,0.00
43.206.149.117,2082,0,false,ORD,North America,Chicago,69,0.00
3.115.14.168,2082,0,false,ORD,North America,Chicago,69,0.00
175.41.218.154,443,0,false,ORD,North America,Chicago,69,0.00
175.41.218.154,2083,0,false,ORD,North America,Chicago,69,0.00
13.125.164.208,8080,0,false,ORD,North America,Chicago,69,0.00
18.181.84.244,2053,0,false,ORD,North America,Chicago,69,0.00
3.115.14.168,2096,0,false,ORD,North America,Chicago,69,0.00
18.182.50.221,8880,0,false,ORD,North America,Chicago,69,0.00
18.183.11.197,2086,0,false,ORD,North America,Chicago,69,0.00
15.165.235.144,2096,0,false,ORD,North America,Chicago,69,0.00
18.181.79.165,8880,0,false,ORD,North America,Chicago,69,0.00
3.115.14.168,2083,0,false,ORD,North America,Chicago,69,0.00
43.206.111.8,2053,0,false,ORD,North America,Chicago,69,0.00
3.109.208.100,2086,0,false,ORD,North America,Chicago,69,0.00
54.250.248.190,2052,0,false,ORD,North America,Chicago,69,0.00
52.194.242.3,2052,0,false,ORD,North America,Chicago,69,0.00
18.182.19.49,2087,0,false,ORD,North America,Chicago,69,0.00
3.110.163.34,8443,0,false,ORD,North America,Chicago,69,0.00
43.203.126.59,443,0,false,ORD,North America,Chicago,69,0.00
18.182.19.49,80,0,false,ORD,North America,Chicago,69,0.00
3.109.208.100,2082,0,false,ORD,North America,Chicago,69,0.00
3.38.149.64,2095,0,false,ORD,North America,Chicago,69,0.00
65.0.138.97,2096,0,false,ORD,North America,Chicago,69,0.00
13.231.171.135,2052,0,false,ORD,North America,Chicago,69,0.00
35.77.219.41,8080,0,false,ORD,North America,Chicago,70,0.00
13.125.199.5,80,0,false,ICN,Asia Pacific,Seoul,70,0.00
15.165.235.179,2086,0,false,ORD,North America,Chicago,70,0.00
43.206.111.8,8080,0,false,ORD,North America,Chicago,70,0.00
13.125.152.55,2086,0,false,ORD,North America,Chicago,70,0.00
18.182.50.221,2087,0,false,ORD,North America,Chicago,70,0.00
54.250.247.229,2052,0,false,ORD,North America,Chicago,70,0.00
13.231.171.135,8880,0,false,ORD,North America,Chicago,70,0.00
52.194.241.103,2086,0,false,ORD,North America,Chicago,70,0.00
3.39.235.191,2083,0,false,ORD,North America,Chicago,70,0.00
18.181.84.244,2082,0,false,ORD,North America,Chicago,70,0.00
52.194.241.103,2096,0,false,ORD,North America,Chicago,70,0.00
43.206.149.117,2052,0,false,ORD,North America,Chicago,70,0.00
3.115.14.168,8080,0,false,ORD,North America,Chicago,70,0.00
15.165.235.179,2082,0,false,ORD,North America,Chicago,70,0.00
3.115.14.168,2052,0,false,ORD,North America,Chicago,70,0.00
15.165.235.179,2053,0,false,ORD,North America,Chicago,70,0.00
3.110.176.236,2082,0,false,ORD,North America,Chicago,70,0.00
3.36.112.217,8880,0,false,ORD,North America,Chicago,70,0.00
52.198.179.148,8443,0,false,ORD,North America,Chicago,70,0.00
3.115.14.168,443,0,false,ORD,North America,Chicago,70,0.00
3.39.238.139,2086,0,false,ORD,North America,Chicago,70,0.00
18.181.79.165,2082,0,false,ORD,North America,Chicago,70,0.00
3.35.139.115,2082,0,false,ORD,North America,Chicago,70,0.00
18.182.19.49,2053,0,false,ORD,North America,Chicago,70,0.00
3.39.238.139,2082,0,false,ORD,North America,Chicago,70,0.00
3.115.14.168,80,0,false,ORD,North America,Chicago,70,0.00
18.183.11.197,2053,0,false,ORD,North America,Chicago,70,0.00
13.201.186.213,2086,0,false,ORD,North America,Chicago,70,0.00
43.202.65.154,2083,0,false,ORD,North America,Chicago,70,0.00
18.182.50.221,8443,0,false,ORD,North America,Chicago,70,0.00
43.206.149.117,2095,0,false,ORD,North America,Chicago,70,0.00
43.206.119.9,2095,0,false,ORD,North America,Chicago,70,0.00
18.182.50.221,2082,0,false,ORD,North America,Chicago,70,0.00
18.182.50.221,2053,0,false,ORD,North America,Chicago,70,0.00
13.125.152.55,2053,0,false,ORD,North America,Chicago,70,0.00
18.183.11.197,2096,0,false,ORD,North America,Chicago,70,0.00
43.206.119.9,80,0,false,ORD,North America,Chicago,70,0.00
43.203.197.126,2086,0,false,ORD,North America,Chicago,70,0.00
18.183.11.197,2052,0,false,ORD,North America,Chicago,70,0.00
43.201.251.185,80,0,false,ORD,North America,Chicago,70,0.00
52.198.179.148,2087,0,false,ORD,North America,Chicago,70,0.00
13.231.119.18,8443,0,false,ORD,North America,Chicago,70,0.00
18.182.50.221,2052,0,false,ORD,North America,Chicago,70,0.00
13.127.194.125,2083,0,false,ORD,North America,Chicago,70,0.00
15.165.235.179,443,0,false,ORD,North America,Chicago,70,0.00
3.39.235.191,80,0,false,ORD,North America,Chicago,70,0.00
3.35.222.58,80,0,false,ORD,North America,Chicago,70,0.00
43.207.200.148,80,0,false,ORD,North America,Chicago,70,0.00
43.206.149.117,2087,0,false,ORD,North America,Chicago,70,0.00
18.181.79.165,2083,0,false,ORD,North America,Chicago,70,0.00
3.38.97.216,2052,0,false,ORD,North America,Chicago,70,0.00
3.35.139.115,443,0,false,ORD,North America,Chicago,70,0.00
43.202.65.154,80,0,false,ORD,North America,Chicago,70,0.00
43.201.251.185,2095,0,false,ORD,North America,Chicago,70,0.00
52.194.242.3,2083,0,false,ORD,North America,Chicago,70,0.00
3.39.235.191,2096,0,false,ORD,North America,Chicago,70,0.00
18.182.19.49,8080,0,false,ORD,North America,Chicago,70,0.00
43.203.225.125,2096,0,false,ORD,North America,Chicago,70,0.00
43.203.197.126,443,0,false,ORD,North America,Chicago,70,0.00
13.125.97.38,80,0,false,ORD,North America,Chicago,70,0.00
3.35.222.58,2053,0,false,ORD,North America,Chicago,70,0.00
18.182.50.221,2096,0,false,ORD,North America,Chicago,70,0.00
52.66.243.88,2095,0,false,ORD,North America,Chicago,70,0.00
52.198.179.148,2053,0,false,ORD,North America,Chicago,70,0.00
3.35.222.58,443,0,false,ORD,North America,Chicago,70,0.00
3.35.156.185,2096,0,false,ORD,North America,Chicago,70,0.00
43.206.149.117,443,0,false,ORD,North America,Chicago,70,0.00
13.125.164.208,2082,0,false,ORD,North America,Chicago,70,0.00
52.198.179.148,2082,0,false,ORD,North America,Chicago,70,0.00
18.181.79.165,2086,0,false,ORD,North America,Chicago,70,0.00
175.41.218.154,80,0,false,ORD,North America,Chicago,70,0.00
18.182.50.221,2083,0,false,ORD,North America,Chicago,70,0.00
52.198.179.148,2052,0,false,ORD,North America,Chicago,70,0.00
3.35.171.182,8443,0,false,ORD,North America,Chicago,70,0.00
18.183.11.197,2082,0,false,ORD,North America,Chicago,70,0.00
52.198.179.148,8880,0,false,ORD,North America,Chicago,70,0.00
54.250.248.190,2082,0,false,ORD,North America,Chicago,70,0.00
13.125.195.4,2082,0,false,ORD,North America,Chicago,70,0.00
18.181.84.244,2096,0,false,ORD,North America,Chicago,70,0.00
43.206.119.9,2052,0,false,ORD,North America,Chicago,70,0.00
52.194.241.103,2052,0,false,ORD,North America,Chicago,70,0.00
52.194.242.3,2087,0,false,ORD,North America,Chicago,70,0.00
43.202.59.187,2052,0,false,ORD,North America,Chicago,70,0.00
35.78.125.92,8080,0,false,ORD,North America,Chicago,70,0.00
43.202.65.154,8880,0,false,ORD,North America,Chicago,70,0.00
52.198.179.148,80,0,false,ORD,North America,Chicago,70,0.00
18.183.11.197,2095,0,false,ORD,North America,Chicago,70,0.00
18.181.84.244,8080,0,false,ORD,North America,Chicago,70,0.00
43.203.225.125,2082,0,false,ORD,North America,Chicago,70,0.00
18.182.19.49,2083,0,false,ORD,North America,Chicago,70,0.00
43.201.251.185,2086,0,false,ORD,North America,Chicago,70,0.00
54.250.247.229,2087,0,false,ORD,North America,Chicago,70,0.00
54.250.248.190,2096,0,false,ORD,North America,Chicago,70,0.00
43.203.126.59,2083,0,false,ORD,North America,Chicago,70,0.00
54.250.247.229,2083,0,false,ORD,North America,Chicago,70,0.00
35.78.75.115,80,0,false,ORD,North America,Chicago,70,0.00
43.203.141.102,2082,0,false,ORD,North America,Chicago,70,0.00
3.35.156.214,8080,0,false,ORD,North America,Chicago,70,0.00
18.182.50.221,80,0,false,ORD,North America,Chicago,70,0.00
13.113.238.154,8880,0,false,ORD,North America,Chicago,70,0.00
18.181.84.244,2087,0,false,ORD,North America,Chicago,70,0.00
43.206.111.8,2052,0,false,ORD,North America,Chicago,70,0.00
52.198.179.148,2096,0,false,ORD,North America,Chicago,70,0.00
54.249.77.109,2082,0,false,ORD,North America,Chicago,70,0.00
18.183.11.197,443,0,false,ORD,North America,Chicago,70,0.00
52.198.179.148,2086,0,false,ORD,North America,Chicago,70,0.00
54.250.248.190,2053,0,false,ORD,North America,Chicago,70,0.00
43.206.111.8,2096,0,false,ORD,North America,Chicago,70,0.00
175.41.218.154,2052,0,false,ORD,North America,Chicago,70,0.00
